Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Thomas Abrahamson,UR Delver,Grixis,Won,2,1,0,Thomas Martin,Shardless BUG,
1,Jon Barber,Food Chain,,Lost,1,2,0,Ben Broadstone,Grixis Delver,
1,Jack Bjorge,Merfolk,,Won,2,1,0,Aaron Winrob,Goblin Stompy,
1,Daniel Brittain,Grixis Delver,,Lost,0,2,0,Thilo Strauss,Miracles,
1,Ben Broadstone,Grixis Delver,,Won,2,1,0,Jon Barber,Food Chain,
1,Martin Clark,BUG Delver,,Won,2,0,0,Jeremy Edwards,Enchantress,GW
1,Sean Deignan,RG Lands,,Won,2,0,0,Allion Salvador,Miracles,
1,Willy Donaldson,RG Lands,,Lost,0,2,0,James Johnson,RUG Delver,
1,Thomas Dowd,Tin Fins,,Lost,0,2,0,Adam Prusa,Miracles,
1,Jeremy Edwards,Enchantress,GW,Lost,0,2,0,Martin Clark,BUG Delver,
1,Percy Fang,BUG Delver,,Won,2,1,0,Greg Mitchell,Tin Fins,
1,Kris Ferderer,Enchantress,GW,Lost,1,2,0,Arjun Garg,Shardless BUG,
1,Scott Ferguson,Reanimator,,Won,2,1,0,Thomas Lancaster,ANT,
1,Arjun Garg,Shardless BUG,,Won,2,1,0,Kris Ferderer,Enchantress,GW
1,David Gonzalez,Dredge,,Won,2,1,0,Tim Wilder,Sneak and Show,
1,Jarrod Hamerly,Shardless BUG,,Lost,0,2,0,Steven Shaw,Infect,
1,Matthew Hansen,Miracles,,Lost,1,2,0,Karl Spreine,Grixis Delver,
1,Donald Hawkins,Grixis Delver,,Lost,0,2,0,Rudy Maynard,4c Loam,
1,Neil Henly,Esper Deathblade,,Won,2,1,0,Rolf Ludviksen,Burn,
1,Sean Hoelscher,RG Lands,,Won,2,1,0,Scott Masterson,Grixis Delver,
1,Jonathan Hu,Grixis Delver,,Won,2,0,0,Tavis Levchak,Goblins,
1,Kory Jamison,Miracles,,Won,2,1,0,Edwin Warner,Eldrazi,Colorless
1,James Johnson,RUG Delver,,Won,2,0,0,Willy Donaldson,RG Lands,
1,Thomas Lancaster,ANT,,Lost,1,2,0,Scott Ferguson,Reanimator,
1,Tavis Levchak,Goblins,,Lost,0,2,0,Jonathan Hu,Grixis Delver,
1,Rolf Ludviksen,Burn,,Lost,1,2,0,Neil Henly,Esper Deathblade,
1,Thomas Martin,Shardless BUG,,Lost,1,2,0,Thomas Abrahamson,UR Delver,Grixis
1,Scott Masterson,Grixis Delver,,Lost,1,2,0,Sean Hoelscher,RG Lands,
1,Kevin Maurin,Bird Tribal,,Lost,0,2,0,Jordan Short,Esper Deathblade,
1,Rudy Maynard,4c Loam,,Won,2,0,0,Donald Hawkins,Grixis Delver,
1,Greg Mitchell,Tin Fins,,Lost,1,2,0,Percy Fang,BUG Delver,
