Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Control,,Lost,1,2,0,Nikita Petrov,Elves,
1,Brian Bennett,OmniSneak,,Lost,1,2,0,Garth Brewe,Burn,
1,Garth Brewe,Burn,,Won,2,1,0,Brian Bennett,OmniSneak,
1,Randy Buehler,4c Control,,Won,2,1,0,Michael Wallio,UR Delver,
1,Elston Cloy,Moon Stompy,,Won,2,0,0,Brad Rutherford,Sneak and Show,
1,Jeremy Edwards,BUG Delver,,Won,2,1,0,Rudy Maynard,4c Loam,
1,Daniel Goh,Grixis Control,,Lost,0,2,0,Matthew Staver,RG Lands,
1,Martin Goldman-kirst,Aluren,R,Won,2,1,0,Andy Stowell,UR Delver,
1,Samuel Hriljac,RIP Control,,Won,2,0,0,Benjamin Ricahrds,4c Loam,
1,James Johnson,RUG Delver,,Won,2,1,0,Alex Staver,RG Lands,
1,Tyler Marklyn,Tezzeret,Grixis,Won,2,1,0,Miles Wallio,Goblins,
1,Rudy Maynard,4c Loam,,Lost,1,2,0,Jeremy Edwards,BUG Delver,
1,Greg Mitchell,Reanimator,,Lost,1,2,0,Shawn Yu,Grixis Control,
1,Nikita Petrov,Elves,,Won,2,1,0,Jordan Aisaka,UWR Control,
1,Adam Prusa,RIP Control,,Lost,0,2,0,Tim Wilder,Bant Deathblade,
1,Benjamin Ricahrds,4c Loam,,Lost,0,2,0,Samuel Hriljac,RIP Control,
1,Brad Rutherford,Sneak and Show,,Lost,0,2,0,Elston Cloy,Moon Stompy,
1,Alex Staver,RG Lands,,Lost,1,2,0,James Johnson,RUG Delver,
1,Matthew Staver,RG Lands,,Won,2,0,0,Daniel Goh,Grixis Control,
1,Andy Stowell,UR Delver,,Lost,1,2,0,Martin Goldman-kirst,Aluren,R
1,Shawn Tabrizi,Grixis Delver,,Match Loss,,,,,,
1,Michael Wallio,UR Delver,,Lost,1,2,0,Randy Buehler,4c Control,
1,Miles Wallio,Goblins,,Lost,1,2,0,Tyler Marklyn,Tezzeret,Grixis
1,Tim Wilder,Bant Deathblade,,Won,2,0,0,Adam Prusa,RIP Control,
1,Shawn Yu,Grixis Control,,Won,2,1,0,Greg Mitchell,Reanimator,
2,Jordan Aisaka,UWR Control,,Won,2,0,0,Benjamin Ricahrds,4c Loam,
2,Brian Bennett,OmniSneak,,Won,2,0,0,Andy Stowell,UR Delver,
2,Garth Brewe,Burn,,Won,2,1,0,Martin Goldman-kirst,Aluren,R
2,Randy Buehler,4c Control,,Won,2,1,0,James Johnson,RUG Delver,
2,Elston Cloy,Moon Stompy,,Won,2,1,0,Nikita Petrov,Elves,
2,Jeremy Edwards,BUG Delver,,Won,2,1,0,Tim Wilder,Bant Deathblade,
2,Daniel Goh,Grixis Control,,Won,2,0,0,Rudy Maynard,4c Loam,
2,Martin Goldman-kirst,Aluren,R,Lost,1,2,0,Garth Brewe,Burn,
2,Samuel Hriljac,RIP Control,,Won,2,0,0,Matthew Staver,RG Lands,
2,James Johnson,RUG Delver,,Lost,1,2,0,Randy Buehler,4c Control,
2,Tyler Marklyn,Tezzeret,Grixis,Lost,0,2,0,Shawn Yu,Grixis Control,
2,Rudy Maynard,4c Loam,,Lost,0,2,0,Daniel Goh,Grixis Control,
2,Greg Mitchell,Reanimator,,Bye,,,,,,
2,Nikita Petrov,Elves,,Lost,1,2,0,Elston Cloy,Moon Stompy,
2,Adam Prusa,RIP Control,,Won,2,1,0,Alex Staver,RG Lands,
2,Benjamin Ricahrds,4c Loam,,Lost,0,2,0,Jordan Aisaka,UWR Control,
