Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Scott Alter,Infect,,Won,2,0,0,Christopher Cornejo,Grixis Control,
1,Garth Brewe,Burn,,Won,2,1,0,Thomas Lynch,TES,
1,Kevin Corliss,Miracles,,Won,2,1,0,John Phillpot,ANT,
1,Devon Cormier,Burn,,Lost,0,2,0,Paul Riordan,BR Reanimator,
1,Christopher Cornejo,Grixis Control,,Lost,0,2,0,Scott Alter,Infect,
1,Patrick Daly,Mono-Blue Martyr,,Lost,1,2,0,Rudy Maynard,4c Loam,
1,Thomas Dowd,Tin Fins,,Drew,1,1,0,Dylan Petter,Miracles,
1,Jeremy Edwards,Eldrazi,White,Won,2,1,0,Justin Hrala,Shardless BUG,
1,Percy Fang,BUG Delver,,Lost,1,2,0,Matthew Mccullough,Elves,
1,Elliot Fisher,Grixis Delver,,Won,2,0,0,Thilo Strauss,Miracles,
1,Christopher Fornace,Nic Fit,4c,Lost,0,2,0,Daniel Goh,Death and Taxes,
1,Daniel Goh,Death and Taxes,,Won,2,0,0,Christopher Fornace,Nic Fit,4c
1,Martin Goldman-kirst,Aluren,,Drew,1,1,0,Tyler Marklyn,Death and Taxes,
1,Max Goldstein,Aluren,,Won,2,1,0,Kris Williams,Death and Taxes,
1,Justin Hrala,Shardless BUG,,Lost,1,2,0,Jeremy Edwards,Eldrazi,White
1,Samuel Hriljac,Miracles,,Won,2,1,0,Daniel Nguyen,Elves,
1,James Johnson,RUG Delver,,Bye,,,,,,
1,Jeff Kinsey,Death and Taxes,,Won,1,0,0,Chad Warford,RG Lands,
1,Joel Kittinger,Deadguy Ale,,Drew,1,1,0,Michael Wallio,UR Delver,
1,Jesse Kunz,Sneak and Show,Omni,Won,2,0,0,Aaron Walker,Aluren,
1,Luke Kutrich,Eldrazi,,Lost,0,2,0,Brenden Mcbain,Imperial Painter,
1,Thomas Lancaster,Infect,,Lost,0,2,0,Sam Yates,Grixis Delver,
1,Thomas Lynch,TES,,Lost,1,2,0,Garth Brewe,Burn,
